Index,Index,Function Name,Global Minimal,Best Fitness,Number of Evaluations,Closeness to Global Minimal,log
1,1,Rotated High Conditioned Elliptic Function,100,102.89823427510132,419800,0.9718339746496252,"[[1, 100, 1145088.6446159927, 1143543.8862956476], [46, 4600, 1544.7583203450763, 1056.1521643582255], [384, 38400, 488.6061559868507, 7.941842615118674], [2545, 254500, 480.664313371732, 1.0899786558525193], [3122, 312200, 479.5743347158795, 313.0221277350246], [3170, 317000, 166.55220698085492, 63.408514168584574], [3175, 317500, 103.14369281227034, 0.1886494241105936], [4198, 419800, 102.95504338815975, 0.056809113058434946]]"
2,2,Rotated Bent Cigar Function,200,203.05722079459645,7928300,0.9849440429518682,"[[1, 100, 30375193.21237424, 30339477.798303157], [2, 200, 35715.414071084895, 30865.06319782952], [37, 3700, 4850.350873255373, 1615.3872225899422], [66, 6600, 3234.9636506654306, 390.7457552000483], [114, 11400, 2844.2178954653823, 1354.258522091755], [157, 15700, 1489.9593733736274, 504.81806573665915], [956, 95600, 985.1413076369682, 0.013146263061230457], [1570, 157000, 985.128161373907, 101.22835451964113], [1708, 170800, 883.8998068542659, 15.687212157808858], [1729, 172900, 868.212594696457, 62.82832055921665], [2097, 209700, 805.3842741372404, 16.83137978837533], [2216, 221600, 788.552894348865, 253.52014479645368], [2343, 234300, 535.0327495524114, 1.2805192623245603], [2350, 235000, 533.7522302900868, 8.253501324569243], [2862, 286200, 525.4987289655176, 3.2162170370663716], [6111, 611100, 522.2825119284512, 0.06531153784203525], [8017, 801700, 522.2172003906092, 312.380548906585], [8527, 852700, 209.83665148402415, 0.009841090885430503], [19487, 1948700, 209.82681039313871, 0.015476995364167578], [24799, 2479900, 209.81133339777455, 0.34304824608400963], [25984, 2598400, 209.46828515169054, 2.804811934229292], [27698, 2769800, 206.66347321746125, 1.4990230332135468], [28294, 2829400, 205.1644501842477, 2.0992076911524293], [28597, 2859700, 203.06524249309527, 0.0074572858179067225], [79283, 7928300, 203.05778520727736, 0.0005644126809158934]]"
3,3,Rotated Discus Function,300,300.00109807164074,4128400,0.9999963397745948,"[[3, 300, 182373.23320478018, 145236.22614193836], [7, 700, 37137.00706284183, 545.1598690948595], [9, 900, 36591.84719374697, 34053.370743275074], [18, 1800, 2538.4764504719014, 104.9223915911939], [83, 8300, 2433.5540588807075, 7.847801436748341], [104, 10400, 2425.706257443959, 185.6147081957197], [106, 10600, 2240.0915492482395, 236.39686042265612], [119, 11900, 2003.6946888255834, 220.44423441864365], [126, 12600, 1783.2504544069398, 70.91806140924086], [128, 12800, 1712.332392997699, 246.5326816623035], [328, 32800, 1465.7997113353954, 17.09227365231891], [613, 61300, 1448.7074376830765, 20.485006435665355], [648, 64800, 1428.2224312474111, 1.484279823120687], [1009, 100900, 1426.7381514242904, 1.4610786350292528], [1746, 174600, 1425.2770727892612, 0.028553861196314756], [2074, 207400, 1425.2485189280649, 458.62580441851287], [2148, 214800, 966.622714509552, 81.7390209606084], [2218, 221800, 884.8836935489436, 475.29041604658295], [2344, 234400, 409.59327750236065, 6.211088998671869], [2709, 270900, 403.3821885036888, 24.469177779903134], [2855, 285500, 378.91301072378565, 10.610546837838058], [3852, 385200, 368.3024638859476, 0.9015411656993706], [4637, 463700, 367.4009227202482, 0.6777481103343916], [4762, 476200, 366.7231746099138, 38.22728483128088], [4803, 480300, 328.49588977863294, 17.5141088116805], [4979, 497900, 310.98178096695244, 10.8266310377183], [6856, 685600, 300.15514992923414, 0.07390037844578501], [9054, 905400, 300.08124955078836, 0.0735467741852176], [36044, 3604400, 300.00770277660314, 0.0026486839509516358], [41284, 4128400, 300.0050540926522, 0.003956021011447319]]"
4,4,Shifted and Rotated Rosenbrock's Function,400,400.0000000020541,8965900,0.9999999999948648,"[[1, 100, 401.64007047289175, 1.3780690782727447], [2, 200, 400.262001394619, 0.0939202987265162], [3, 300, 400.1680810958925, 0.12564124590539905], [4, 400, 400.0424398499871, 0.037160594065881014], [10, 1000, 400.0052792559212, 1.202052368398654e-05], [22, 2200, 400.0052672353975, 5.257375460132607e-05], [34, 3400, 400.0052146616429, 3.961425233001137e-05], [109, 10900, 400.0051750473906, 4.390248648178385e-06], [131, 13100, 400.00517065714195, 2.291352132033353e-06], [134, 13400, 400.0051683657898, 5.588974545389647e-07], [165, 16500, 400.00516780689236, 0.0004866563645578026], [171, 17100, 400.0046811505278, 5.774086446308502e-05], [212, 21200, 400.00462340966334, 0.0002400489988190202], [215, 21500, 400.0043833606645, 0.0003566310786027316], [218, 21800, 400.0040267295859, 0.00034816308965446296], [225, 22500, 400.00367856649626, 7.906322662165621e-05], [253, 25300, 400.00359950326964, 2.6421789129926765e-06], [268, 26800, 400.0035968610907, 0.0003505192467514462], [284, 28400, 400.003246341844, 1.4340976690618845e-06], [289, 28900, 400.0032449077463, 0.00021046637402832857], [297, 29700, 400.0030344413723, 2.3327680935381068e-05], [305, 30500, 400.00301111369134, 7.385131334558537e-05], [426, 42600, 400.002937262378, 0.0003713822916324716], [434, 43400, 400.00256588008637, 0.00017179482864548845], [441, 44100, 400.0023940852577, 1.1142738969738275e-05], [462, 46200, 400.00238294251875, 3.6662806905951584e-05], [524, 52400, 400.00234627971184, 1.1548502811820072e-06], [531, 53100, 400.00234512486156, 4.503457773807895e-06], [601, 60100, 400.0023406214038, 7.227425271594257e-07], [605, 60500, 400.00233989866126, 0.0010047860116060292], [622, 62200, 400.00133511264966, 1.636871854771016e-05], [631, 63100, 400.0013187439311, 3.227542828199148e-05], [636, 63600, 400.0012864685028, 6.659434802713804e-06], [686, 68600, 400.001279809068, 1.9676066926876956e-06], [707, 70700, 400.00127784146133, 9.846827265391767e-05], [709, 70900, 400.0011793731887, 3.979030299205988e-05], [718, 71800, 400.0011395828857, 0.0003098428196040004], [725, 72500, 400.0008297400661, 1.0368372613811516e-06], [754, 75400, 400.0008287032288, 9.872537827959604e-05], [758, 75800, 400.00072997785054, 0.0003433514591506537], [767, 76700, 400.0003866263914, 2.2035638949091663e-06], [775, 77500, 400.0003844228275, 3.685570237621505e-05], [781, 78100, 400.0003475671251, 0.0001961400490131382], [800, 80000, 400.0001514270761, 2.320114799658768e-05], [964, 96400, 400.0001282259281, 3.3277853162871907e-05], [978, 97800, 400.00009494807495, 2.6692201799960458e-06], [994, 99400, 400.00009227885477, 9.618369233521662e-06], [1026, 102600, 400.00008266048553, 1.7030380945470824e-06], [1212, 121200, 400.00008095744744, 8.81723673273882e-06], [1262, 126200, 400.0000721402107, 5.028653049521381e-08], [1403, 140300, 400.0000720899242, 1.7490111758888816e-07], [1439, 143900, 400.00007191502306, 1.0616076906444505e-09], [1455, 145500, 400.00007191396145, 1.2486390232879785e-07], [1602, 160200, 400.00007178909755, 3.219174686819315e-07], [1879, 187900, 400.0000714671801, 1.752003788624279e-05], [1882, 188200, 400.0000539471422, 1.463529144984932e-06], [1903, 190300, 400.00005248361305, 1.0688835800465313e-05], [1913, 191300, 400.00004179477725, 2.0885897811240284e-07], [2133, 213300, 400.00004158591827, 1.1626802006503567e-05], [2137, 213700, 400.00002995911626, 2.8993750902372994e-06], [2154, 215400, 400.00002705974117, 1.6562844962209056e-06], [2183, 218300, 400.0000254034567, 4.625278506864561e-07], [2187, 218700, 400.0000249409288, 2.852697207345045e-07], [2226, 222600, 400.0000246556591, 6.529181177938881e-07], [2456, 245600, 400.000024002741, 4.383755140224821e-06], [2469, 246900, 400.00001961898585, 3.0292704877865617e-07], [2495, 249500, 400.0000193160588, 7.861282483645482e-06], [2514, 251400, 400.0000114547763, 7.718280699009483e-07], [2529, 252900, 400.00001068294824, 1.467895117457374e-06], [2545, 254500, 400.0000092150531, 9.931674753715924e-07], [2629, 262900, 400.00000822188565, 9.197981398756383e-08], [2761, 276100, 400.00000812990584, 2.0945018945894844e-06], [2843, 284300, 400.00000603540394, 3.5749923199546174e-06], [2954, 295400, 400.0000024604116, 2.4572045731474645e-08], [3100, 310000, 400.0000024358396, 5.31323394170613e-08], [3118, 311800, 400.00000238270724, 1.50394214415428e-07], [4385, 438500, 400.000002232313, 4.913324573863065e-07], [4407, 440700, 400.00000174098057, 5.461192813527305e-07], [4571, 457100, 400.0000011948613, 9.738468520481547e-07], [4908, 490800, 400.00000022101443, 8.784013516560663e-10], [5549, 554900, 400.00000022013603, 5.103970579511952e-10], [5788, 578800, 400.00000021962563, 5.3159226354182465e-08], [5815, 581500, 400.0000001664664, 4.178900780971162e-08], [6060, 606000, 400.0000001246774, 1.662436943661305e-08], [6876, 687600, 400.00000010805303, 2.6149393761443207e-08], [6946, 694600, 400.00000008190364, 1.5745115433674073e-08], [7245, 724500, 400.0000000661585, 6.002153440931579e-09], [7354, 735400, 400.00000006015637, 4.4265675569477025e-09], [7909, 790900, 400.0000000557298, 7.997869033715688e-10], [12352, 1235200, 400.00000005493, 6.615266556764254e-09], [12490, 1249000, 400.00000004831475, 5.5933924159035087e-11], [14594, 1459400, 400.0000000482588, 5.329070518200751e-09], [14812, 1481200, 400.00000004292974, 2.822696387738688e-08], [15461, 1546100, 400.0000000147028, 7.79891706770286e-10], [16168, 1616800, 400.0000000139229, 1.0669509720173664e-10], [17600, 1760000, 400.0000000138162, 7.282778824446723e-10], [24828, 2482800, 400.0000000130879, 1.2846612662542611e-11], [25575, 2557500, 400.00000001307507, 5.7411853049416095e-12], [25846, 2584600, 400.0000000130693, 2.1600499167107046e-12], [39874, 3987400, 400.00000001306717, 3.79537823391729e-09], [40456, 4045600, 400.0000000092718, 4.530420483206399e-11], [40528, 4052800, 400.0000000092265, 1.595878984517185e-09], [43418, 4341800, 400.0000000076306, 1.7126922102761455e-10], [43846, 4384600, 400.00000000745933, 5.326228347257711e-11], [48599, 4859900, 400.0000000074061, 5.206857167650014e-11], [58723, 5872300, 400.000000007354, 1.6939338820520788e-10], [61746, 6174600, 400.0000000071846, 1.176658770418726e-10], [64678, 6467800, 400.00000000706694, 9.663381206337363e-11], [65184, 6518400, 400.0000000069703, 2.992237568832934e-10], [80352, 8035200, 400.0000000066711, 1.4662759895145427e-09], [82901, 8290100, 400.0000000052048, 1.777380020939745e-09], [82965, 8296500, 400.00000000342743, 6.183995537867304e-10], [86524, 8652400, 400.00000000280903, 1.8189894035458565e-10], [86775, 8677500, 400.00000000262713, 1.7257661966141313e-10], [88047, 8804700, 400.00000000245456, 1.439275365555659e-10], [89659, 8965900, 400.0000000023106, 2.5653434931882657e-10]]"
5,5,Shifted and Rotated Ackley's Function,500,500.0000157534115,7439900,0.999999968493178,"[[1, 100, 517.0859397895925, 8.963108326395343], [2, 200, 508.1228314631972, 0.5124132173766043], [3, 300, 507.6104182458206, 4.76600914309131], [5, 500, 502.8444091027293, 1.987587622099113], [26, 2600, 500.8568214806302, 0.7133299342553983], [118, 11800, 500.1434915463748, 0.0755495694087358], [187, 18700, 500.06794197696604, 0.014876443440073217], [256, 25600, 500.05306553352597, 0.006064062157747685], [478, 47800, 500.0470014713682, 0.0023035180212787054], [948, 94800, 500.04469795334694, 0.0109044974731205], [1447, 144700, 500.0337934558738, 0.008782748558076037], [1874, 187400, 500.02501070731574, 0.0010057522225110915], [2391, 239100, 500.02400495509323, 0.010218390211150563], [3397, 339700, 500.0137865648821, 0.0008652384131551116], [3568, 356800, 500.0129213264689, 0.0039033544572930623], [3906, 390600, 500.00901797201163, 0.002267211089247212], [5706, 570600, 500.0067507609224, 0.0015324165452170746], [6560, 656000, 500.00521834437717, 0.0009597336420483771], [8326, 832600, 500.0042586107351, 0.002517425063047085], [25005, 2500500, 500.0017411856721, 0.0007203816648484462], [30587, 3058700, 500.0010208040072, 0.000880789652853764], [56619, 5661900, 500.0001400143544, 9.870123403743492e-05], [74399, 7439900, 500.00004131312033, 2.555970883122427e-05]]"
6,6,Shifted and Rotated Weierstrass Function,600,600.0010999763399,9270500,0.9999981667094612,"[[1, 100, 601.7985108960406, 1.5472729084284538], [5, 500, 600.2512379876122, 0.06554643692368245], [10, 1000, 600.1856915506885, 0.024266226476470365], [12, 1200, 600.161425324212, 0.13675145832280577], [20, 2000, 600.0246738658892, 0.011083662393616578], [163, 16300, 600.0135902034956, 0.0038740756954211975], [232, 23200, 600.0097161278002, 0.0029347206259444647], [1811, 181100, 600.0067814071742, 0.0003791518552134221], [3265, 326500, 600.006402255319, 0.0019034547503906651], [3530, 353000, 600.0044988005686, 0.0007416731209559657], [5606, 560600, 600.0037571274477, 0.001920865093552493], [22064, 2206400, 600.0018362623541, 0.00016988336244594393], [54089, 5408900, 600.0016663789917, 2.24112054638681e-05], [60614, 6061400, 600.0016439677862, 5.7834671792988956e-05], [77184, 7718400, 600.0015861331144, 0.00020072741551757645], [87774, 8777400, 600.0013854056989, 6.492914201317035e-05], [92705, 9270500, 600.0013204765569, 0.000220500216983055]]"
7,7,Shifted and Rotated Griewank's Function,700,700.0000000401733,7878900,0.9999999999426096,"[[1, 100, 703.0277396936096, 2.019785062314554], [2, 200, 701.0079546312951, 0.29622740968522976], [3, 300, 700.7117272216099, 0.28997410685167324], [4, 400, 700.4217531147582, 0.20285273211118238], [6, 600, 700.218900382647, 0.14968563487150277], [34, 3400, 700.0692147477755, 0.0016269915794282497], [45, 4500, 700.0675877561961, 0.008264003293447786], [52, 5200, 700.0593237529026, 0.01695185487199069], [54, 5400, 700.0423718980306, 0.024643773218826936], [117, 11700, 700.0177281248118, 0.0016872021245717406], [164, 16400, 700.0160409226872, 0.011249443356973643], [351, 35100, 700.0047914793303, 0.0019114314895887219], [687, 68700, 700.0028800478407, 0.002040494892753486], [1400, 140000, 700.0008395529479, 0.0003075568500889858], [1741, 174100, 700.0005319960978, 0.00029168483615649166], [1897, 189700, 700.0002403112617, 3.551705174231756e-05], [2478, 247800, 700.0002047942099, 2.7967449909738207e-05], [3180, 318000, 700.00017682676, 0.0001131168045276354], [3577, 357700, 700.0000637099555, 3.626754562446877e-05], [4542, 454200, 700.0000274424099, 1.3420133427644032e-05], [7638, 763800, 700.0000140222764, 1.1938822240153968e-05], [13749, 1374900, 700.0000020834542, 1.1755493005694007e-06], [19405, 1940500, 700.0000009079049, 5.835231604578439e-07], [57915, 5791500, 700.0000003243817, 5.731919827667298e-08], [74154, 7415400, 700.0000002670625, 2.1266066596581368e-07], [78789, 7878900, 700.0000000544019, 1.4228589861886576e-08]]"
8,8,Shifted Rastrigin's Function,800,800.0000000010475,9485700,0.9999999999986906,"[[1, 100, 802.7475197487057, 1.2200386771218064], [2, 200, 801.5274810715839, 0.7622282562001601], [5, 500, 800.7652528153837, 0.21330037478116992], [6, 600, 800.5519524406026, 0.25695115133464697], [7, 700, 800.2950012892679, 0.10665407313194919], [10, 1000, 800.188347216136, 0.08141877483944882], [30, 3000, 800.1069284412965, 0.05258730661330446], [50, 5000, 800.0543411346832, 0.015214955732290036], [52, 5200, 800.0391261789509, 0.0011297453661427426], [53, 5300, 800.0379964335848, 0.020424042577360524], [54, 5400, 800.0175723910074, 0.015214955732290036], [291, 29100, 800.0023574352751, 0.0022829909956953998], [580, 58000, 800.0000744442794, 6.790967631786771e-06], [809, 80900, 800.0000676533118, 2.6397861120130983e-05], [908, 90800, 800.0000412554507, 1.935314719503367e-05], [1367, 136700, 800.0000219023035, 3.9083348610802204e-06], [1934, 193400, 800.0000179939686, 7.243086201924598e-07], [2126, 212600, 800.00001726966, 1.2837340022997523e-05], [2166, 216600, 800.00000443232, 3.6912862242388655e-06], [6060, 606000, 800.0000007410338, 1.785542735888157e-07], [7776, 777600, 800.0000005624795, 9.303164461016422e-08], [13456, 1345600, 800.0000004694479, 6.706363819830585e-08], [16283, 1628300, 800.0000004023842, 1.0628582458593883e-08], [23678, 2367800, 800.0000003917556, 4.030516720376909e-08], [42202, 4220200, 800.0000003514505, 7.148400982259773e-09], [45340, 4534000, 800.0000003443021, 2.707848807403934e-07], [58722, 5872200, 800.0000000735172, 7.032815574348206e-08], [60354, 6035400, 800.000000003189, 1.1438032743171789e-09], [88178, 8817800, 800.0000000020452, 8.55379767017439e-10], [94857, 9485700, 800.0000000011898, 1.4233592082746327e-10]]"
9,9,Shifted and Rotated Rastrigin's Function,900,900.0000000007057,2355200,0.999999999999216,"[[1, 100, 907.2693046589977, 5.9039664435641726], [2, 200, 901.3653382154336, 0.4890736659067443], [8, 800, 900.8762645495268, 0.6348114427382825], [10, 1000, 900.2414531067885, 0.0957232743263603], [12, 1200, 900.1457298324622, 0.031627762634343526], [13, 1300, 900.1141020698278, 0.07629984784284716], [14, 1400, 900.037802221985, 0.03163146302381392], [19, 1900, 900.0061707589612, 0.00370767284834983], [47, 4700, 900.0024630861128, 0.001955909016601254], [70, 7000, 900.0005071770962, 0.0002332349713469739], [82, 8200, 900.0002739421249, 1.1507142971822759e-05], [96, 9600, 900.0002624349819, 0.00024642637959004787], [792, 79200, 900.0000160086023, 9.181736345453828e-06], [1322, 132200, 900.000006826866, 2.5784305535125895e-06], [3304, 330400, 900.0000042484354, 3.884612283400202e-06], [4786, 478600, 900.0000003638231, 2.7205032893107273e-07], [5935, 593500, 900.0000000917728, 7.307346550078364e-08], [8699, 869900, 900.0000000186993, 1.1306383385090157e-08], [22900, 2290000, 900.0000000073929, 1.080138645193074e-09], [23552, 2355200, 900.0000000063128, 5.607148523267824e-09]]"
10,10, Shifted Schwefel's Function,1000,1000.000000073609,6591100,0.999999999926391,"[[1, 100, 1174.8843541143742, 130.75969782260654], [2, 200, 1044.1246562917677, 24.131965804480046], [3, 300, 1019.9926904872876, 11.61812221730986], [5, 500, 1008.3745682699778, 7.674969641609664], [24, 2400, 1000.6995986283681, 0.024947258734869138], [29, 2900, 1000.6746513696332, 0.37552071870049986], [57, 5700, 1000.2991306509327, 0.07252710892657888], [59, 5900, 1000.2266035420062, 0.19888214350510225], [150, 15000, 1000.0277213985011, 0.0001912255980869304], [169, 16900, 1000.027530172903, 0.013724968628366696], [215, 21500, 1000.0138052042746, 0.01023973828284852], [551, 55100, 1000.0035654659918, 0.003239903249436793], [1132, 113200, 1000.0003255627423, 0.00014284160590705142], [1757, 175700, 1000.0001827211364, 2.1650437588505156e-05], [2504, 250400, 1000.0001610706988, 0.00013761392528977012], [2682, 268200, 1000.0000234567735, 1.997202639358875e-05], [6406, 640600, 1000.0000034847471, 5.664089712809073e-07], [6844, 684400, 1000.0000029183382, 5.196693564357702e-08], [20029, 2002900, 1000.0000028663712, 1.5024575077404734e-06], [34075, 3407500, 1000.0000013639137, 6.745862037860206e-07], [43822, 4382200, 1000.0000006893275, 3.011160742971697e-07], [65911, 6591100, 1000.0000003882114, 3.1460240279557183e-07]]"
